nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action
DANNY CANGEMI;True;Special Effects Supervisor;Special Effects;Se7en;;nm0133958;Dan Cangemi;M
Francesco Sabelli;True;Coordinatore Effetti Speciali;Special Effects;Romanzo criminale S01E01;;nm0754680;Francesco Sabelli;A
Carlo Quattrone;True;Effetti Speciali;Special Effects;Romanzo criminale S01E01;;nm2316362;Carlo Quattrone;A
MICHAEL APLING;True;SFX Office Coordinator;Special Effects;Chernobyl S01E01;;nm1871549;Michael Apling;A
TAISHIRO KIYA;True;Illustrator/Sculptor;Special Effects;Fight Club;;nm0457942;Taishiro Kiya;A
ARTHUR PIMENTEL;True;Mold Maker;Special Effects;Fight Club;;;ARTHUR PIMENTEL;X
GLEN HANZ;True;Sculptors;Special Effects;Fight Club;;nm0361555;Glen Hanz;A
MOTOYOSHI HATA;True;Sculptors;Special Effects;Fight Club;;;MOTOYOSHI HATA;X
MARIO CARMONA;True;Special Effects Men;Special Effects;Apocalypse Now;;nm0138566;Mario Carmona;A
Ricci srl;False;Effetti speciali;Special Effects Companies;La grande bellezza;;;;
SERIFOR;False;Material Efectos Especiales y Armería;Special Effects Companies;El desorden que dejas S01E03;;;;
IN EXTREMIS FILM SERVICES;False;Material Efectos Especiales y Armería;Special Effects Companies;El desorden que dejas S01E03;;;;
USER T38;False;Diseño de la Cabecera;Special Effects Companies;El desorden que dejas S01E03;;;;
CINEMA RESEARCH;False;Opticals by;Special Effects Companies;Se7en;;;;
RISE;False;VISUAL EFFECTS SUPERVISOR;Special Effects Companies;Dark S01E09;;;;
PACIFIC TITLE;False;Main Title Opticals by;Special Effects Companies;Se7en;;;;
BUZZ IMAGE GROUP, INC.;False;visual effects by;Special Effects Companies;Eternal Sunshine of the Spotless Mind;;;;
SERIFOR;False;SFX;Special Effects Companies;El desorden que dejas S01E03;;;;
DIGITAL DOMAIN;False;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club;;;;
EFILM;False;Scanning & Recording by;Special Effects Companies;Fight Club;;;;
R/GA DIGITAL STUDIOS;False;;Special Effects Companies;Se7en;;;;
R/GREENBERG ASSOCIATES WEST, INC.;False;Digital Visual Effects and Main Title Sequence;Special Effects Companies;Se7en;;;;
CUSTOM FILM EFFECTS;False;visual effects, titles and digital opticals by;Special Effects Companies;Eternal Sunshine of the Spotless Mind;;;;
COMMAND POST TOYBOX, TORONTO;False;Digital Visual Effects and Digital Film Scanning by;Special Effects Companies;Fight Club;;;;
ROB BOTTIN PRODUCTIONS, INC.;False;Special Make-Up Effects;Special Effects Companies;Fight Club;;;;
VISUALOGIE;False;Effetti Visivi Digitali;Special Effects Companies;Romanzo criminale S01E01;;;;
GRAY MATTER FX;False;Special Visual Effects by;Special Effects Companies;Fight Club;;;;
LES VERSAILLAIS;False;Effets spéciaux;Special Effects Companies;Amelie;;;;
PIXEL LIBERATION FRONT;False;Pre-Visualization by;Special Effects Companies;Fight Club;;;;
Chromatica;False;Visual effects;Special Effects Companies;La grande bellezza;;;;
MODERN FILM EFFECTS;False;Titles & Optical Effects;Special Effects Companies;Hill Street Blues S01E13;;;;
IMAGE SAVANT;False;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club;;;;
MODERN FILM EFFECTS;False;Opticals by;Special Effects Companies;Apocalypse Now;;;;
POST-MODERN DIGITAL;False;Chernobyl Power Plant Source Model;Special Effects Companies;Chernobyl S01E01;;;;
BUF INC.;False;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club;;;;
POP FILM;False;Digital Transitions by;Special Effects Companies;Fight Club;;;;
BLUE SKY STUDIOS;False;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club;;;;
DNEG TV;False;Visual Effects by;Special Effects Companies;Chernobyl S01E01;;;;
STIRBER VISUAL NETWORK, INC.;False;Miniature Pyrotechnics by;Special Effects Companies;Fight Club;;;;
CLEAR ANGLE STUDIOS;False;3D Scanning Services;Special Effects Companies;Chernobyl S01E01;;;;
DAMON CARO;True;Stunt Players;Stunts;Fight Club;;nm0138902;Damon Caro;A
Gilles CONSEIL;True;Cascadeurs;Stunts;Les Cordiers Juge et Flic S02E03;;nm0175898;Gilles Conseil;A
ÓSCAR FRANCO;True;Coordinadores de Especialistas;Stunts;El desorden que dejas S01E03;;;ÓSCAR FRANCO;X
HENRY KINGI;True;Stunts;Stunts;Se7en;;nm0455437;Henry Kingi;A
CHARLES PICERNI, JR.;True;Stunt Coordinator;Stunts;Se7en;;;CHARLES PICERNI, JR.;X
FANY VEIGA;True;Coordinadores de Especialistas;Stunts;El desorden que dejas S01E03;;nm6421598;Fany Veiga;A
SANDY BERUMEN;True;Stunts;Stunts;Se7en;;;SANDY BERUMEN;X
Jean-Claude Lagniez;True;Cascades voitures;Stunts;Amelie;;;Jean-Claude Lagniez;X
IBÁN CASÁS BAMIO;True;Especialistas;Stunts;El desorden que dejas S01E03;;;IBÁN CASÁS BAMIO;X
JANET BRADY;True;Stunts;Stunts;Se7en;;nm0103643;Janet Brady;A
MANUEL CHURRAS;True;Especialistas;Stunts;El desorden que dejas S01E03;;;MANUEL CHURRAS;X
JOHNNY MARTIN;True;Stunts;Stunts;Se7en;;nm11547973;Johnny Martin;A
LAFAYE BAKER;True;Stunts;Stunts;Se7en;;nm0048674;LaFaye Baker;A
STEVE PICERNI;True;Stunts;Stunts;Se7en;;nm0681613;Steve Picerni;A
BOB BROWN;True;Stunts;Stunts;Se7en;;nm0113136;Bob Brown;A
ALAN OLINEY;True;Stunts;Stunts;Se7en;;nm0646453;Alan Oliney;A
GARY PRICE;True;Stunts;Stunts;Se7en;;nm0696901;Gary Price;A
VLADISLAV JACUKEVIČ;True;Stunt Performers;Stunts;Chernobyl S01E01;;nm1073065;Vladislav Jacukevic;A
PHILLIP J. ROMANO;True;Stunts;Stunts;Se7en;;nm0727681;Philip Romano;M
TERRY J. LEONARD;True;Stunt Coordinator;Stunts;Apocalypse Now;;nm0502777;Terry Leonard;M
PABLO ANTEPAZO;True;Especialistas;Stunts;El desorden que dejas S01E03;;nm9692357;Pablo Antepazo;A
KANE HODDER;True;Stunts;Stunts;Se7en;;nm0387987;Kane Hodder;A
Ottaviano Dell' Acqua;True;Stunt Driver;Stunts;Romanzo criminale S01E01;;nm0217260;Ottaviano Dell'Acqua;M
Giampiero Comanducci;True;Stunt Driver;Stunts;Romanzo criminale S01E01;;nm1309653;Giampiero Comanducci;A
Rocco Russo;True;Stuntman;Stunts;La grande bellezza;;;Rocco Russo;X
JEVGENIJ KIRILOV;True;Stunt Performers;Stunts;Chernobyl S01E01;;nm4066392;Jevgenij Kirilov;A
MARIUS JANUŠONIS;True;Stunt Performers;Stunts;Chernobyl S01E01;;nm8796350;Marius Janusonis;A
STANISLAV SAMUCHOV;True;Stunt Performers;Stunts;Chernobyl S01E01;;nm8796348;Stanislav Samuchov;A
PETRAS PIVORIŪNAS;True;Stunt Double for Adam Nagaitas;Stunts;Chernobyl S01E01;;nm10677396;Petras Pivoriunas;A
SAULIUS JANAVIČIUS;True;Stunt Coordinators;Stunts;Chernobyl S01E01;;nm0417330;Saulius Janavicius;A
Jonatha Marzeddu;True;Coordinamento stuntman scene subacquee;Stunts;La grande bellezza;;nm6181309;Jonatha Marzeddu;A
Franco Maria Salamon;True;Coordinamento stuntman scene subacquee;Stunts;La grande bellezza;;nm0757512;Franco Maria Salamon;A
Patrick Cauderlier;True;Cascades physiques;Stunts;Amelie;;nm0146456;Patrick Cauderlier;A
Rémi Canaple;True;Cascades physiques;Stunts;Amelie;;nm0133583;Rémi Canaple;A
Mauro Caterini;True;Coordinamento stuntman;Stunts;La grande bellezza;;nm1309580;Mauro Caterini;A
GARY KANE;True;Stunt Coordinators;Stunts;Chernobyl S01E01;;nm1201131;Gary Kane;A
GARY CONNERY;True;Stunt Coordinators;Stunts;Chernobyl S01E01;;nm0175224;Gary Connery;A
Emiliano Novelli;True;Stuntmen;Stunts;Romanzo criminale S01E01;;nm0637024;Emiliano Novelli;A
Giorgio Antonini;True;Stuntmen;Stunts;Romanzo criminale S01E01;;nm0031357;Giorgio Antonini;A
Massimiliano Ubaldi;True;Stuntmen;Stunts;Romanzo criminale S01E01;;nm0879648;Massimiliano Ubaldi;A
Paolo Antonini;True;Stuntmen;Stunts;Romanzo criminale S01E01;;nm1353686;Paolo Antonini;A
Viet Daniele Nguyen - Hung;True;Stuntmen;Stunts;Romanzo criminale S01E01;;;Viet Daniele Nguyen - Hung;X
Stefano Maria Mioni;True;Stuntmen;Stunts;Romanzo criminale S01E01;;nm0591864;Stefano Maria Mioni;A
Riccardo Mioni;True;Stuntmen;Stunts;Romanzo criminale S01E01;;nm0591862;Riccardo Mioni;A
TIM DAVISON;True;Stunts;Stunts;Se7en;;;TIM DAVISON;X
Alessandro Borgese;True;Coordinatore Stunt;Stunts;Romanzo criminale S01E01;;nm0096609;Alessandro Borgese;A
PAT ROMANO;True;Stunts;Stunts;Se7en;;nm0738939;Pat Romano;A
CINDY DANIELS;True;Stunts;Stunts;Se7en;;nm0199870;Cindy Daniels;A
SCOTT WILDER;True;Stunts;Stunts;Se7en;;nm0928627;Scott Wilder;A
BEA VEIGA;True;Especialistas;Stunts;El desorden que dejas S01E03;;;BEA VEIGA;X
PEDRO VEIGA;True;Especialistas;Stunts;El desorden que dejas S01E03;;nm6421599;Pedro Veiga;A
Sébastien Seveau;True;Cascades voitures;Stunts;Amelie;;nm0786238;Sébastien Seveau;A
Sébastien Lagniez;True;Cascades voitures;Stunts;Amelie;;nm1248560;Sébastien Lagniez;A
Daniel VERITE;True;Cascadeurs;Stunts;Les Cordiers Juge et Flic S02E03;;nm0904989;Daniel Vérité;A
STEVE BOYUM;True;Stuntmen;Stunts;Apocalypse Now;;nm0102434;Steve Boyum;A
JIMMY NICKERSON;True;Stunt Players;Stunts;Fight Club;;nm0630022;Jimmy Nickerson;A
ARTIE MALESCI;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;nm0539386;Artie Malesci;A
CORT HESSLER, III;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;;CORT HESSLER, III;X
JOHN FAVRE;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;nm0269450;John R. Favre;M
STEPHANIE FINOCHIO;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;nm0278334;Stephanie Finochio;A
E.J. EVANS;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;;E.J. EVANS;X
DANNY AIELLO, III;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;nm0001900;Danny Aiello III;A
BILLY ANAGNOS;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;nm0025574;Bill Anagnos;M
DAVID LEITCH;True;Stunt Players;Stunts;Fight Club;;nm0500610;David Leitch;A
BRIAN SMYJ;True;stunt coordinator;Stunts;Eternal Sunshine of the Spotless Mind;;nm0810750;Brian Smyj;A
CHARLES PICERNI JR.;True;Stunt Coordinator;Stunts;Se7en;;;CHARLES PICERNI JR.;X
CHUCK WATERS;True;Stuntmen;Stunts;Apocalypse Now;;nm0914048;Chuck Waters;A
JEFF IMADA;True;Stunt Players;Stunts;Fight Club;;nm0408001;Jeff Imada;A
DENNIS ALPERT;True;Precision Driver Coordinator;Stunts;Se7en;;;DENNIS ALPERT;X
MICHAEL RUNYARD;True;Stunt Coordinator;Stunts;Fight Club;;nm0750354;Michael Runyard;A
KERRY ROSSAL;True;Stuntmen;Stunts;Apocalypse Now;;nm0743953;Kerry Rossall;M
ANDRE GIBBS;True;Stunts;Stunts;Se7en;;nm0316619;Andree Gibbs;M
Pascaline Girardot;True;Cascades physiques;Stunts;Amelie;;nm0320763;Pascaline Girardot;A
EDVINAS BRASAS;True;Stunt Performers;Stunts;Chernobyl S01E01;;nm4066885;Edvinas Brasas;A
STEPHEN POPE;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;;STEPHEN POPE;X
DAVID TRON;True;Especialistas;Stunts;El desorden que dejas S01E03;;;DAVID TRON;X
MIKE RUSSO;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;;MIKE RUSSO;X
PATRICK BARNETT;True;Kevin Spacey's Double;Stunts;Se7en;;nm2822281;Patrick Barnett;A
PEE WEE PIEMONTE;True;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;;;PEE WEE PIEMONTE;X
JOSUÉ PÉREZ FERNÁNDEZ;True;Especialistas;Stunts;El desorden que dejas S01E03;;nm14460154;Josue Pérez Fernández;A
JOE FINNEGAN;True;Stuntmen;Stunts;Apocalypse Now;;nm0278200;Joe Finnegan;A
Peter Brayham;True;Fight Arranger;Stunts;Prime Suspect S01E01;;nm0106278;Peter Brayham;A
VOLKHART BUFF;True;STUNT COORDINATOR;Stunts;Dark S01E09;;nm0119331;Volkhart Buff;A
RICHIE VARGA;True;Brad Pitt's Double;Stunts;Se7en;;;RICHIE VARGA;X
DUWAYNE R. SHEPARD, SR.;True;Morgan Freeman's Double;Stunts;Se7en;;;DUWAYNE R. SHEPARD, SR.;X
CHARLES PICERNI, JR.;True;Stunts;Stunts;Se7en;;;CHARLES PICERNI, JR.;X
KENNY ENDOSO;True;Stunts;Stunts;Se7en;;nm0256879;Kenny Endoso;A
ANXO RIVERA;True;Especialistas;Stunts;El desorden que dejas S01E03;;nm10309607;Anxo Rivera;A
M. Forte;True;;Thanks;Amelie;;;M. Forte;X
M. Souverain;True;;Thanks;Amelie;;;M. Souverain;X
KAREN BAIRD;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;KAREN BAIRD;X
HEIDI BIVENS;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;HEIDI BIVENS;X
LINDA IGNACIO;True;Philippine Department of Tourism;Thanks;Apocalypse Now;;;LINDA IGNACIO;X
GERRY ROBERT BYRNE;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;GERRY ROBERT BYRNE;X
Corinne Sarrut;True;;Thanks;Amelie;;;Corinne Sarrut;X
DREW KUNIN;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;DREW KUNIN;X
Juarez Machado;True;;Thanks;Amelie;;;Juarez Machado;X
M. Haubensack;True;;Thanks;Amelie;;;M. Haubensack;X
Christian Marguerie;True;;Thanks;Amelie;;;Christian Marguerie;X
M. Langlois;True;;Thanks;Amelie;;;M. Langlois;X
TED HOPE;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;TED HOPE;X
MRS. T.S. ELIOT;True;Courtesy of;Thanks;Apocalypse Now;;;MRS. T.S. ELIOT;X
Mme Labbe;True;;Thanks;Amelie;;;Mme Labbe;X
JULIE FONG;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;JULIE FONG;X
M. Labbe;True;;Thanks;Amelie;;;M. Labbe;X
WILL KEENAN;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;WILL KEENAN;X
CYRIL DRABINSKY;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;CYRIL DRABINSKY;X
KEVIN DILLON;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;KEVIN DILLON;X
Frédérique Gibert;True;;Thanks;Amelie;;;Frédérique Gibert;X
M. Derrien;True;;Thanks;Amelie;;;M. Derrien;X
M. Doughy;True;;Thanks;Amelie;;;M. Doughy;X
LAURA KIGHTLINGER;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;LAURA KIGHTLINGER;X
Mme Delattre;True;;Thanks;Amelie;;;Mme Delattre;X
M. Delattre;True;;Thanks;Amelie;;;M. Delattre;X
ANNE CAREY;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;ANNE CAREY;X
FLORA PURIM;True;Special Thanks to;Thanks;Apocalypse Now;;;FLORA PURIM;X
Daniela D'Antonio;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Daniela D'Antonio;X
Helena Bylund;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Helena Bylund;X
Fernando Vidal;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Fernando Vidal;X
Nigel Dunstone;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Nigel Dunstone;X
Tim Fogg;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Tim Fogg;X
Jim Spickler;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Jim Spickler;X
Steve Sillett;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Steve Sillett;X
Craig Benkman;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Craig Benkman;X
Jari Peltomaki;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Jari Peltomaki;X
Brian Stone;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Brian Stone;X
Dan Eatherley;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Dan Eatherley;X
Prof Peter Kappeler;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Prof Peter Kappeler;X
SUSAN MORSE;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;SUSAN MORSE;X
ELLEN POMPEO;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;ELLEN POMPEO;X
AMY ROSEN;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;AMY ROSEN;X
Saharah Moon Chapotin;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Saharah Moon Chapotin;X
Rob McCall;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Rob McCall;X
Zygmunt Gizejewski;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Zygmunt Gizejewski;X
Dany Cleyet-Marrel;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Dany Cleyet-Marrel;X
Peter Rosen;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Peter Rosen;X
Rudy Galindo;True;;Thanks;Amelie;;;Rudy Galindo;X
Anatoly Petrov;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Anatoly Petrov;X
Dan Hartman;True;The BBC wishes to thank;Thanks;Planet Earth S01E10;;;Dan Hartman;X
Ken Robertson;True;Chief Wildlife Warden, Madhya Pradesh;Thanks;Planet Earth S01E10;;;Ken Robertson;X
P. Scott Makela;True;In memory of;Thanks;Fight Club;;;P. Scott Makela;X
Raymond Bongiovanni;True;In memory of;Thanks;Fight Club;;;Raymond Bongiovanni;X
M. CROS;True;;Thanks;Amelie;;;M. CROS;X
Mme. NONIN;True;;Thanks;Amelie;;;Mme. NONIN;X
Giorgio Armani;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Giorgio Armani;X
Roberta Armani;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Roberta Armani;X
Mme. HO;True;;Thanks;Amelie;;;Mme. HO;X
Fiammetta Baralla;True;un ringraziamento particolare a;Thanks;La grande bellezza;;;Fiammetta Baralla;X
Flavio Cattaneo;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Flavio Cattaneo;X
Roberto De Francesco;True;un ringraziamento speciale a;Thanks;La grande bellezza;;;Roberto De Francesco;X
Guido Torlonia;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Guido Torlonia;X
Maurizio;True;a;Thanks;La grande bellezza;;;Maurizio;X
DIANA VICTOR;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;DIANA VICTOR;X
JOHN SREDNICKI;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;JOHN SREDNICKI;X
LEON SILVERMAN;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;LEON SILVERMAN;X
Peppe;True;a;Thanks;La grande bellezza;;;Peppe;X
VICTOR RASUK;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;VICTOR RASUK;X
Claudio Vecchio;True;un ringraziamento particolare a;Thanks;La grande bellezza;;;Claudio Vecchio;X
Keith Clay;True;Chief Wildlife Warden, Madhya Pradesh;Thanks;Planet Earth S01E10;;;Keith Clay;X
Michael A. Rosenberg;True;;Thanks;Amelie;;;Michael A. Rosenberg;X
THE ZACKS;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;THE ZACKS;X
Antonello Venditti;True;un ringraziamento particolare a;Thanks;La grande bellezza;;;Antonello Venditti;X
Luca Giordano;True;si ringraziano;Thanks;La grande bellezza;;;Luca Giordano;X
M. Hains;True;;Thanks;Amelie;;;M. Hains;X
Salvo Nastasi;True;;Thanks;La grande bellezza;;;Salvo Nastasi;X
BRIAN GADINSKY;True;;Thanks;Se7en;;;BRIAN GADINSKY;X
JAY RENFROE;True;;Thanks;Se7en;;;JAY RENFROE;X
DAVID GARFINKLE;True;;Thanks;Se7en;;;DAVID GARFINKLE;X
MATTHEW PAPISH;True;;Thanks;Se7en;;;MATTHEW PAPISH;X
CATCH A CROOK;True;Audio clip from;Thanks;Se7en;;;CATCH A CROOK;X
Giuseppe Arnone;True;si ringraziano;Thanks;La grande bellezza;;;Giuseppe Arnone;X
Anna Lazzari;True;si ringraziano;Thanks;La grande bellezza;;;Anna Lazzari;X
Emanuele Becheri;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Emanuele Becheri;X
Simone Bergantini;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Simone Bergantini;X
Ricarrdo Favato;True;si ringraziano;Thanks;La grande bellezza;;;Ricarrdo Favato;X
ANGUS WALL;True;;Thanks;Se7en;;;ANGUS WALL;X
JOHN A. MALM, JR.;True;;Thanks;Se7en;;;JOHN A. MALM, JR.;X
JACK SILBERG;True;;Thanks;Se7en;;;JACK SILBERG;X
PH.D;True;;Thanks;Se7en;;;PH.D;X
VINCE LANDAY;True;;Thanks;Se7en;;;VINCE LANDAY;X
Gabriele Bonato;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Gabriele Bonato;X
Meena Hasan;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Meena Hasan;X
Gian Maria Tosatti;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Gian Maria Tosatti;X
Michele Mancini;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Michele Mancini;X
Antonio Riello;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Antonio Riello;X
Yiquian Zhao;True;Si ringraziano gli artisti;Thanks;La grande bellezza;;;Yiquian Zhao;X
RUFUS BURNHAM;True;;Thanks;Se7en;;;RUFUS BURNHAM;X
CEAN CHAFFIN;True;Special Thanks to;Thanks;Se7en;;;CEAN CHAFFIN;X
Roberto D'Agostino;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Roberto D'Agostino;X
Roberto D'Antonio;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Roberto D'Antonio;X
Comandante Giorgia Capozzella;True;si ringraziano inoltre;Thanks;La grande bellezza;;;Comandante Giorgia Capozzella;X
Roberto Camba;True;si ringraziano;Thanks;La grande bellezza;;;Roberto Camba;X
M. Chamoulaud;True;;Thanks;Amelie;;;M. Chamoulaud;X
DR. GWENN SMITH;True;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;;DR. GWENN SMITH;X
Ilma Caccavale;True;;Thanks;La grande bellezza;;;Ilma Caccavale;X
Massimiliano Russo;True;per auto di scena;Thanks;Romanzo criminale S01E01;;;Massimiliano Russo;X
Ferretti Group;False;;Thanks;La grande bellezza;;;;
Gianni Narducci;True;;Thanks;La grande bellezza;;;Gianni Narducci;X
Giuseppe Modesti;True;;Thanks;La grande bellezza;;;Giuseppe Modesti;X
Leo Mantovani;True;;Thanks;La grande bellezza;;;Leo Mantovani;X
Giulio Brogi;True;un ringraziamento particolare a;Thanks;La grande bellezza;;;Giulio Brogi;X
Andrea Maguolo;True;;Thanks;La grande bellezza;;;Andrea Maguolo;X
Debbie Carmichael;True;;Thanks;Romanzo criminale S01E01;;;Debbie Carmichael;X
Gina Magnani;True;;Thanks;La grande bellezza;;;Gina Magnani;X
Stefano Fregni;True;;Thanks;La grande bellezza;;;Stefano Fregni;X
Marisela Federici;True;;Thanks;La grande bellezza;;;Marisela Federici;X
Diego Esposito;True;;Thanks;La grande bellezza;;;Diego Esposito;X
Nello D’Isa;True;;Thanks;La grande bellezza;;;Nello D’Isa;X
Marchese Alvise Di Canossa;True;;Thanks;La grande bellezza;;;Marchese Alvise Di Canossa;X
Franca De Monti;True;;Thanks;La grande bellezza;;;Franca De Monti;X
Alberto Baldini;True;si ringraziano;Thanks;La grande bellezza;;;Alberto Baldini;X
I Romans;True;;Thanks;La grande bellezza;;;I Romans;X
Mauro Pretti;True;;Thanks;La grande bellezza;;;Mauro Pretti;X
dott.ssa Patrizia Pavone;True;;Thanks;La grande bellezza;;;dott.ssa Patrizia Pavone;X
Aurelio De Laurentiis;True;Paolo Sorrentino ringrazia;Thanks;La grande bellezza;;;Aurelio De Laurentiis;X
Andrea De Cristofaro;True;;Thanks;La grande bellezza;;;Andrea De Cristofaro;X
Luigi Caputo;True;;Thanks;La grande bellezza;;;Luigi Caputo;X
Francesca Casarola;True;;Thanks;La grande bellezza;;;Francesca Casarola;X
Frédéric Mitterand;True;;Thanks;Amelie;;;Frédéric Mitterand;X
Francesco Serra Di Cassano;True;;Thanks;La grande bellezza;;;Francesco Serra Di Cassano;X
Salvatore D’Amico;True;;Thanks;La grande bellezza;;;Salvatore D’Amico;X
AL KAMINSKY;True;Transportation Coordinator;Transportation Department;Se7en;;nm0436741;Alan Kaminsky;M
TOM KIRSTEN;True;DAILY SET DEC DRIVERS;Transportation Department;Dark S01E09;;nm3110652;Tom Kirsten;A
MALTE MANN;True;DAILY SET DEC DRIVERS;Transportation Department;Dark S01E09;;nm2795714;Malte Mann;A
THOMAS CREHANN;True;drivers;Transportation Department;Eternal Sunshine of the Spotless Mind;;nm0187294;Thomas Crehan;M
CHRISTIAN MEINHERZ;True;PROP DRIVERS;Transportation Department;Dark S01E09;;nm4684892;Christian Meinherz;A
SERGII MIAGKYI;True;Action Vehicle Supervisor;Transportation Department;Chernobyl S01E01;;;SERGII MIAGKYI;X
THOMAS SCHLEGEL;True;PROP DRIVERS;Transportation Department;Dark S01E09;;nm3487448;Thomas Schlegel;A
JIM MCENTYRE;True;Drivers;Transportation Department;Se7en;;nm0568515;Jim McEntyre;A
TIM LEMKE;True;SET DEC DRIVERS;Transportation Department;Dark S01E09;;nm2991168;Tim Lemke;A
MIRKO REICHWALD;True;DAILY SET DEC DRIVERS;Transportation Department;Dark S01E09;;nm3737488;Mirko Reichwald;A
DAVID FLEMMING;True;DAILY DRIVERS;Transportation Department;Dark S01E09;;nm3950598;David Flemming;A
OLIVER HOLLSTEIN;True;SET DEC DRIVERS;Transportation Department;Dark S01E09;;nm7380286;Oliver Hollstein;A
CHRISTOPH STANGIER;True;DRIVERS;Transportation Department;Dark S01E09;;nm3982337;Christoph Stangier;A
MIKLAS WITTMANN;True;DAILY DRIVERS;Transportation Department;Dark S01E09;;nm1331512;Miklas Wittmann;A
SEBASTIAN LUCK;True;MOVE COORDINATORS;Transportation Department;Dark S01E09;;nm9238615;Sebastian Luck;A
MICHAEL FISCHER;True;DRIVERS;Transportation Department;Dark S01E09;;;MICHAEL FISCHER;X
FELIX HERMANN;True;DRIVERS;Transportation Department;Dark S01E09;;;FELIX HERMANN;X
TONY ZAHN;True;Drivers;Transportation Department;Se7en;;;TONY ZAHN;X
ERIC VON MUTIUS;True;DAILY DRIVERS;Transportation Department;Dark S01E09;;nm5860250;Eric von Mutius;A
RENÉ JANICKE;True;DRIVERS;Transportation Department;Dark S01E09;;nm6781260;René Janicke;A
