nome;is_person;role_detail;role_group;numero_episodio;dubbing_type
RENDUELES SUMINISTROS;FALSE;Compras Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
BERTHA HOGAR;FALSE;Compras Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
EL MUNDO DEL PAPEL PINTADO;FALSE;Compras Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
FLORES PATIÑO;FALSE;Compras Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
Mª ÁNGELES SÁNCHEZ FANDIÑO;TRUE;Compras Mobiliario y Ambientación;Additional Crew;El desorden que dejas S01E03;
MADELAS LAMELAS;FALSE;Compras Fungibles y Varios Construcción;Miscellaneous Companies;El desorden que dejas S01E03;
PINTURAS ISAVAL;FALSE;Compras Fungibles y Varios Construcción;Miscellaneous Companies;El desorden que dejas S01E03;
TORRES Y SAEZ;FALSE;Compras Fungibles y Varios Construcción;Miscellaneous Companies;El desorden que dejas S01E03;
RUIZ Y PENADES;FALSE;Compras Fungibles y Varios Construcción;Miscellaneous Companies;El desorden que dejas S01E03;
DEMETRIO;FALSE;Alquiler Camión Cámara;Miscellaneous Companies;El desorden que dejas S01E03;
AUTOS BREA;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
IMPULSA;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
SERVILUGO;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
FR SPORT;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
LUIS CABEZAL;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
CAR RENT MILLADOIRO;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
CLEAN CAR LUGO;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
MANELL MOTOR A CORUÑA;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
SIXT RENT A CART;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
AUTOCASIÓN NOROESTE;FALSE;Alquiler Vehículos;Miscellaneous Companies;El desorden que dejas S01E03;
FASTER;FALSE;ETT Figuración;Miscellaneous Companies;El desorden que dejas S01E03;
O XARDIN DE ÁRBORE;FALSE;Catering;Miscellaneous Companies;El desorden que dejas S01E03;
ALFONSIN DIGITAL LAB;FALSE;Discos Duros y Back Up;Miscellaneous Companies;El desorden que dejas S01E03;
NEOVIDEO;FALSE;Discos Duros y Back Up;Miscellaneous Companies;El desorden que dejas S01E03;
DELUXE SPAIN;FALSE;Postproducción de imagen;Miscellaneous Companies;El desorden que dejas S01E03;
