nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
THE NEW YORK CITY MAYOR'S OFFICE FOR FILM, THEATER AND BROADCASTING;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;the new york city mayor s office for film theater and broadcasting;;;;;;;;;;;;;;;;;;;;;;;;
THE NEW YORK STATE GOVERNOR'S FILM OFFICE;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;the new york state governor s film office;;;;;;;;;;;;;;;;;;;;;;;;
THE NORTH FACE;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;the north face;;;;;;;;;;;;;;;;;;;;;;;;
THE TOWN OF EAST HAMPTON, NY;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;the town of east hampton ny;;;;;;;;;;;;;;;;;;;;;;;;
BMG Music Publishing France;FALSE;Éditions;Miscellaneous Companies;Amelie;bmg music publishing france;;;;;;;;;;;;;;;;;;;;;;;;
PLAYBILL;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;playbill;;;;;;;;;;;;;;;;;;;;;;;;
BBC;FALSE;;Miscellaneous Companies;Amelie;bbc;;;;;;;;;;;;;;;;;;;;;;;;
E-Left Studio (Roma);FALSE;Registrazioni e missaggi;Miscellaneous Companies;Romanzo criminale S01E01;e left studio roma;;;;;;;;;;;;;;;;;;;;;;;;
Federal Ministry for Economic Affairs and Energy;FALSE;Supported by:;Miscellaneous Companies;Dark S01E09;federal ministry for economic affairs and energy;;;;;;;;;;;;;;;;;;;;;;;;
ROBERT PUFF MUSIC;FALSE;music preparation by;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;robert puff music;;;;;;;;;;;;;;;;;;;;;;;;
OCORA RADIO FRANCE;FALSE;Courtesy of;Miscellaneous Companies;Apocalypse Now;ocora radio france;;;;;;;;;;;;;;;;;;;;;;;;
Cabinet JEAN CHARPENTIER;FALSE;;Miscellaneous Companies;Amelie;cabinet jean charpentier;;;;;;;;;;;;;;;;;;;;;;;;
C.Bourgeois;FALSE;Éditions;Miscellaneous Companies;Amelie;c bourgeois;;;;;;;;;;;;;;;;;;;;;;;;
DRIVE ENTERTAINMENT;FALSE;Courtesy of;Miscellaneous Companies;Se7en;drive entertainment;;;;;;;;;;;;;;;;;;;;;;;;
RUSSELL STOVER CANDY COMPANY;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;russell stover candy company;;;;;;;;;;;;;;;;;;;;;;;;
Bureau Parisien du Film - Mairie de Paris;FALSE;avec le concours du;Miscellaneous Companies;Amelie;bureau parisien du film mairie de paris;;;;;;;;;;;;;;;;;;;;;;;;
OMNI ZOETROPE STUDIOS SAN FRANCISCO/LOS ANGELES;FALSE;Production and Post Production Facilities Furnished Through;Miscellaneous Companies;Apocalypse Now;omni zoetrope studios san francisco los angeles;;;;;;;;;;;;;;;;;;;;;;;;
Original Sound Entertainment;FALSE;;Miscellaneous Companies;Apocalypse Now;original sound entertainment;;;;;;;;;;;;;;;;;;;;;;;;
Auditel;FALSE;Auditorium;Miscellaneous Companies;Maigret S03E01;auditel;;;;;;;;;;;;;;;;;;;;;;;;
SCHOTT BROTHERS USA;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;schott brothers usa;;;;;;;;;;;;;;;;;;;;;;;;
SCHYLLING TOYS;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;schylling toys;;;;;;;;;;;;;;;;;;;;;;;;
Estúdio VOXMUNDI AUDIOVISUAL – VSI;FALSE;Dubbing Studio;Miscellaneous Companies;Dark S01E09;estúdio voxmundi audiovisual vsi;;;;;;;;;;;;;;;;;;;;;;;;
ENTERTAINMENT BROKERS INTERNATIONAL;FALSE;Insurance Provided By;Miscellaneous Companies;Se7en;entertainment brokers international;;;;;;;;;;;;;;;;;;;;;;;;
SEIZE SUR VINGT;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;seize sur vingt;;;;;;;;;;;;;;;;;;;;;;;;
Car Grip;FALSE;Matériel machinerie;Miscellaneous Companies;Amelie;car grip;;;;;;;;;;;;;;;;;;;;;;;;
DISCOS DOS CORONAS;FALSE;Courtesy of (El Michoacano);Miscellaneous Companies;Se7en;discos dos coronas;;;;;;;;;;;;;;;;;;;;;;;;
SESHA COSMECEUTICALS;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;sesha cosmeceuticals;;;;;;;;;;;;;;;;;;;;;;;;
SHEPPARD, MULLIN, RICHTER & HAMPTON;FALSE;production attorneys;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;sheppard mullin richter hampton;;;;;;;;;;;;;;;;;;;;;;;;
SIEMEN'S MEDICAL;FALSE;courtesy of;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;siemen s medical;;;;;;;;;;;;;;;;;;;;;;;;
RANDOM HOUSE;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;random house;;;;;;;;;;;;;;;;;;;;;;;;
PUMA;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;puma;;;;;;;;;;;;;;;;;;;;;;;;
Trudi spa;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;trudi spa;;;;;;;;;;;;;;;;;;;;;;;;
THOMAS PINK;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;thomas pink;;;;;;;;;;;;;;;;;;;;;;;;
Edition O.S.F. Euterpe;FALSE;Interprétée par;Miscellaneous Companies;Maigret S03E01;edition o s f euterpe;;;;;;;;;;;;;;;;;;;;;;;;
PAUL DORF;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;paul dorf;;;;;;;;;;;;;;;;;;;;;;;;
KONA CUTTING;FALSE;Negative Cutting;Miscellaneous Companies;Se7en;kona cutting;;;;;;;;;;;;;;;;;;;;;;;;
PAPER DENIM CLOTH;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;paper denim cloth;;;;;;;;;;;;;;;;;;;;;;;;
BASIS;FALSE;RE-RECORDING MIXERS;Miscellaneous Companies;Dark S01E09;basis;;;;;;;;;;;;;;;;;;;;;;;;
Wannenes – Genova;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;wannenes genova;;;;;;;;;;;;;;;;;;;;;;;;
OROBLU ITALIAN HOSIERY;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;oroblu italian hosiery;;;;;;;;;;;;;;;;;;;;;;;;
ONLY HEARTS;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;only hearts;;;;;;;;;;;;;;;;;;;;;;;;
NYPD MOVIE & TV UNIT;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;nypd movie tv unit;;;;;;;;;;;;;;;;;;;;;;;;
Associated Production Music;FALSE;Courtesy of;Miscellaneous Companies;Fight Club;associated production music;;;;;;;;;;;;;;;;;;;;;;;;
BILL DANCE CASTING;FALSE;Extras Casting;Miscellaneous Companies;Fight Club;bill dance casting;;;;;;;;;;;;;;;;;;;;;;;;
NYCSUBWAYLINE.COM;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;nycsubwayline com;;;;;;;;;;;;;;;;;;;;;;;;
Villeroy & Boch;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;villeroy boch;;;;;;;;;;;;;;;;;;;;;;;;
Vanity Fair – Edizioni Condé Nast;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;vanity fair edizioni condé nast;;;;;;;;;;;;;;;;;;;;;;;;
ART DEPARTMENT STUDIO BABELSBERG;FALSE;CONSTRUCTION COMPANIES;Miscellaneous Companies;Dark S01E09;art department studio babelsberg;;;;;;;;;;;;;;;;;;;;;;;;
ARRI RENTAL BERLIN;FALSE;CAMERA EQUIPMENT RENTAL;Miscellaneous Companies;Dark S01E09;arri rental berlin;;;;;;;;;;;;;;;;;;;;;;;;
NICOLE MILLER;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;nicole miller;;;;;;;;;;;;;;;;;;;;;;;;
Unopiù;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;unopiù;;;;;;;;;;;;;;;;;;;;;;;;
ARRI MEDIA;FALSE;HEAD OF POSTPRODUCTION;Miscellaneous Companies;Dark S01E09;arri media;;;;;;;;;;;;;;;;;;;;;;;;
NEWMARKET PRESS SCRIPT book;FALSE;read the;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;newmarket press script book;;;;;;;;;;;;;;;;;;;;;;;;
NEW YORK STATE OFFICE OF PARKS, RECREATION AND HISTORIC PRESERVATION;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;new york state office of parks recreation and historic preservation;;;;;;;;;;;;;;;;;;;;;;;;
NEW JERSEY FILM COMMISSION;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;new jersey film commission;;;;;;;;;;;;;;;;;;;;;;;;
April;FALSE;;Miscellaneous Companies;Amelie;april;;;;;;;;;;;;;;;;;;;;;;;;
TITLE HOUSE DIGITAL;FALSE;end titles by;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;title house digital;;;;;;;;;;;;;;;;;;;;;;;;
www.celispose.com;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;www celispose com;;;;;;;;;;;;;;;;;;;;;;;;
Victoires Productions;FALSE;(P) 2000;Miscellaneous Companies;Amelie;victoires productions;;;;;;;;;;;;;;;;;;;;;;;;
PRIVATE STOCK RECORDS;FALSE;Courtesy of;Miscellaneous Companies;Apocalypse Now;private stock records;;;;;;;;;;;;;;;;;;;;;;;;
DENNIS DAVIDSON ASSOCIATES;FALSE;International Public Relations;Miscellaneous Companies;Se7en;dennis davidson associates;;;;;;;;;;;;;;;;;;;;;;;;
TONY & TINE COSMETICS;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;tony tine cosmetics;;;;;;;;;;;;;;;;;;;;;;;;
Totheme 54 ;FALSE;;Miscellaneous Companies;Amelie;totheme 54;;;;;;;;;;;;;;;;;;;;;;;;
INTERSCOPE RECORDS;FALSE;Courtesy of;Miscellaneous Companies;Se7en;interscope records;;;;;;;;;;;;;;;;;;;;;;;;
UGG AUSTRALIA;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;ugg australia;;;;;;;;;;;;;;;;;;;;;;;;
Universal Music Enterprises;FALSE;under license from;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;universal music enterprises;;;;;;;;;;;;;;;;;;;;;;;;
Universal Music India Private Limited (Mumbai);FALSE;courtesy of;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;universal music india private limited mumbai;;;;;;;;;;;;;;;;;;;;;;;;
UNIVERSAL STUDIOS LICENSING, LLLP;FALSE;"""monster on campus"" and ""the munsters"" courtesy of";Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;universal studios licensing lllp;;;;;;;;;;;;;;;;;;;;;;;;
UNIVERSAL/POLYGRAM RECORDS;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;universal polygram records;;;;;;;;;;;;;;;;;;;;;;;;
URBAN DECAY;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;urban decay;;;;;;;;;;;;;;;;;;;;;;;;
URBAN OUTFITTERS;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;urban outfitters;;;;;;;;;;;;;;;;;;;;;;;;
VALENTINE MANAGEMENT & THE GOJANI FAMILY;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;valentine management the gojani family;;;;;;;;;;;;;;;;;;;;;;;;
DELUXE TORONTO;FALSE;Prints by;Miscellaneous Companies;Se7en;deluxe toronto;;;;;;;;;;;;;;;;;;;;;;;;
VERY FINE TEES;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;very fine tees;;;;;;;;;;;;;;;;;;;;;;;;
Auditoriums de Boulogne;FALSE;Auditorium;Miscellaneous Companies;Amelie;auditoriums de boulogne;;;;;;;;;;;;;;;;;;;;;;;;
CCC FILMSTUDIOS;FALSE;STAGES;Miscellaneous Companies;Dark S01E09;ccc filmstudios;;;;;;;;;;;;;;;;;;;;;;;;
DELUXE LOS ANGELES;FALSE;Color by;Miscellaneous Companies;Se7en;deluxe los angeles;;;;;;;;;;;;;;;;;;;;;;;;
WRANGLER;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;wrangler;;;;;;;;;;;;;;;;;;;;;;;;
Artistic Palace - Lumiere Unique;FALSE;Matériel montage image;Miscellaneous Companies;Amelie;artistic palace lumiere unique;;;;;;;;;;;;;;;;;;;;;;;;
AERO MOCK-UPS, INC.;FALSE;Airline Interiors;Miscellaneous Companies;Fight Club;aero mock ups inc;;;;;;;;;;;;;;;;;;;;;;;;
Arkeion;FALSE;;Miscellaneous Companies;Amelie;arkeion;;;;;;;;;;;;;;;;;;;;;;;;
Too Cool Records;FALSE;courtesy of;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind;too cool records;;;;;;;;;;;;;;;;;;;;;;;;
THE DOORS;FALSE;"""THE END"" By";Miscellaneous Companies;Apocalypse Now;the doors;;;;;;;;;;;;;;;;;;;;;;;;
Sandro Teti Editore;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;sandro teti editore;;;;;;;;;;;;;;;;;;;;;;;;
Hotel de la lune;FALSE;Si ringraziano gli artisti;Miscellaneous Companies;La grande bellezza;hotel de la lune;;;;;;;;;;;;;;;;;;;;;;;;
American Humane;FALSE;American Humane monitored the animal action.;Miscellaneous Companies;Chernobyl S01E01;american humane;;;;;;;;;;;;;;;;;;;;;;;;
Hogan;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;hogan;;;;;;;;;;;;;;;;;;;;;;;;
PANAVISION;FALSE;Camera and Lenses by;Miscellaneous Companies;Hill Street Blues S01E13;panavision;;;;;;;;;;;;;;;;;;;;;;;;
Historic Research;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;historic research;;;;;;;;;;;;;;;;;;;;;;;;
2F Cinerent;FALSE;Arredamento;Miscellaneous Companies;La grande bellezza;2f cinerent;;;;;;;;;;;;;;;;;;;;;;;;
Gucci;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;gucci;;;;;;;;;;;;;;;;;;;;;;;;
Grazia Lotti;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;grazia lotti;;;;;;;;;;;;;;;;;;;;;;;;
ACONDROPLASIA Insieme Per Crescere Associazione ONLUS;FALSE;si ringraziano;Miscellaneous Companies;La grande bellezza;acondroplasia insieme per crescere associazione onlus;;;;;;;;;;;;;;;;;;;;;;;;
Adelphi Edizioni;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;adelphi edizioni;;;;;;;;;;;;;;;;;;;;;;;;
Afolki di El Alami Mohamed;FALSE;Arredamento;Miscellaneous Companies;La grande bellezza;afolki di el alami mohamed;;;;;;;;;;;;;;;;;;;;;;;;
LYNCH/FROST PRODUCTIONS, INC.;FALSE;COPYRIGHT MCMXC BY;Miscellaneous Companies;Twin Peaks S01E03;lynch frost productions inc;;;;;;;;;;;;;;;;;;;;;;;;
MOTION PICTURE MARINE;FALSE;Marine Coordination by;Miscellaneous Companies;Twin Peaks S01E03;motion picture marine;;;;;;;;;;;;;;;;;;;;;;;;
PACIFIC TITLE;FALSE;Titles & Opticals by;Miscellaneous Companies;Twin Peaks S01E03;pacific title;;;;;;;;;;;;;;;;;;;;;;;;
Giulio Einaudi Editore;FALSE;;Miscellaneous Companies;La grande bellezza;giulio einaudi editore;;;;;;;;;;;;;;;;;;;;;;;;
Giulio Einaudi Editore;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;giulio einaudi editore;;;;;;;;;;;;;;;;;;;;;;;;
Alessi;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;alessi;;;;;;;;;;;;;;;;;;;;;;;;
Alpitour;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;alpitour;;;;;;;;;;;;;;;;;;;;;;;;
Altai;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;altai;;;;;;;;;;;;;;;;;;;;;;;;
DUPONT;FALSE;NEGATIVI;Miscellaneous Companies;8 1-2;dupont;;;;;;;;;;;;;;;;;;;;;;;;
Angelo Marani;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;angelo marani;;;;;;;;;;;;;;;;;;;;;;;;
SHEPLERS;FALSE;Assorted wardrobe provided by;Miscellaneous Companies;Twin Peaks S01E03;sheplers;;;;;;;;;;;;;;;;;;;;;;;;
MK2 - Les Films du Carrosse;FALSE;;Miscellaneous Companies;Amelie;mk2 les films du carrosse;;;;;;;;;;;;;;;;;;;;;;;;
Gervasoni spa;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;gervasoni spa;;;;;;;;;;;;;;;;;;;;;;;;
Anna Mode;FALSE;Sartorie;Miscellaneous Companies;La grande bellezza;anna mode;;;;;;;;;;;;;;;;;;;;;;;;
FOURTH DRAWER;FALSE;Archive Research;Miscellaneous Companies;Chernobyl S01E01;fourth drawer;;;;;;;;;;;;;;;;;;;;;;;;
Gallo;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;gallo;;;;;;;;;;;;;;;;;;;;;;;;
LA DA PRODUCTIONS;FALSE;Music Editor;Miscellaneous Companies;Hill Street Blues S01E13;la da productions;;;;;;;;;;;;;;;;;;;;;;;;
Antinarte;FALSE;Arredamento;Miscellaneous Companies;La grande bellezza;antinarte;;;;;;;;;;;;;;;;;;;;;;;;
IED - Istituto Europeo di Design;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;ied istituto europeo di design;;;;;;;;;;;;;;;;;;;;;;;;
GLEN GLENN SOUND;FALSE;Re-Recording;Miscellaneous Companies;Hill Street Blues S01E13;glen glenn sound;;;;;;;;;;;;;;;;;;;;;;;;
Kaleidoscope;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;kaleidoscope;;;;;;;;;;;;;;;;;;;;;;;;
Jerico Rinaldi;FALSE;Catering;Miscellaneous Companies;La grande bellezza;jerico rinaldi;;;;;;;;;;;;;;;;;;;;;;;;
Jaguar/Land Rover Italia spa;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;jaguar land rover italia spa;;;;;;;;;;;;;;;;;;;;;;;;
Panavision Alga;FALSE;Matériel machinerie;Miscellaneous Companies;Amelie;panavision alga;;;;;;;;;;;;;;;;;;;;;;;;
P L S;FALSE;Location véhicules techniques;Miscellaneous Companies;Amelie;p l s;;;;;;;;;;;;;;;;;;;;;;;;
THE IMPERIAL WAR MUSEUM;FALSE;In co-operation with;Miscellaneous Companies;The World At War S01E03;the imperial war museum;;;;;;;;;;;;;;;;;;;;;;;;
Twentieth Century Fox Film Corporation;FALSE;Courtesy of;Miscellaneous Companies;Fight Club;twentieth century fox film corporation;;;;;;;;;;;;;;;;;;;;;;;;
VISNEWS;FALSE;Archive Sources;Miscellaneous Companies;The World At War S01E03;visnews;;;;;;;;;;;;;;;;;;;;;;;;
Universal Music Special Markets;FALSE;Under license from;Miscellaneous Companies;Fight Club;universal music special markets;;;;;;;;;;;;;;;;;;;;;;;;
Internazionale;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;internazionale;;;;;;;;;;;;;;;;;;;;;;;;
Warner Special Products;FALSE;By arrangement with;Miscellaneous Companies;Fight Club;warner special products;;;;;;;;;;;;;;;;;;;;;;;;
InHouse;FALSE;Effetti sonori;Miscellaneous Companies;La grande bellezza;inhouse;;;;;;;;;;;;;;;;;;;;;;;;
albert;FALSE;sustainable production certification;Miscellaneous Companies;Chernobyl S01E01;albert;;;;;;;;;;;;;;;;;;;;;;;;
Indigo Film;FALSE;Edizioni Musicali;Miscellaneous Companies;La grande bellezza;indigo film;;;;;;;;;;;;;;;;;;;;;;;;
KYIV FILM COMMISSION;FALSE;Special Thanks to;Miscellaneous Companies;Chernobyl S01E01;kyiv film commission;;;;;;;;;;;;;;;;;;;;;;;;
INA Assitalia spa;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;ina assitalia spa;;;;;;;;;;;;;;;;;;;;;;;;
KYIV CITY STATE ADMINISTRATION;FALSE;Special Thanks to;Miscellaneous Companies;Chernobyl S01E01;kyiv city state administration;;;;;;;;;;;;;;;;;;;;;;;;
Il Tempo;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;il tempo;;;;;;;;;;;;;;;;;;;;;;;;
Il Sole 24 Ore;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;il sole 24 ore;;;;;;;;;;;;;;;;;;;;;;;;
Il Segretario Generale della Giustizia Amministrativa;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;il segretario generale della giustizia amministrativa;;;;;;;;;;;;;;;;;;;;;;;;
KAUNAS FILM OFFICE;FALSE;Special Thanks to;Miscellaneous Companies;Chernobyl S01E01;kaunas film office;;;;;;;;;;;;;;;;;;;;;;;;
il Romanista;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;il romanista;;;;;;;;;;;;;;;;;;;;;;;;
Il Messaggero;FeLSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;il messaggero;;;;;;;;;;;;;;;;;;;;;;;;
DELUXE;FALSE;Color by;Miscellaneous Companies;Hill Street Blues S01E13;deluxe;;;;;;;;;;;;;;;;;;;;;;;;
Il Corriere della Sera;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;il corriere della sera;;;;;;;;;;;;;;;;;;;;;;;;
de luxe;FALSE;Color by;Miscellaneous Companies;Twin Peaks S01E03;de luxe;;;;;;;;;;;;;;;;;;;;;;;;
ENCORE VIDEO;FALSE;Telecine and Electronic Post Production;Miscellaneous Companies;Twin Peaks S01E03;encore video;;;;;;;;;;;;;;;;;;;;;;;;
HORTA EDITORIAL;FALSE;Sound Editor;Miscellaneous Companies;Hill Street Blues S01E13;horta editorial;;;;;;;;;;;;;;;;;;;;;;;;
PATHE CINEMA;FALSE;Archive Sources;Miscellaneous Companies;The World At War S01E03;pathe cinema;;;;;;;;;;;;;;;;;;;;;;;;
SUPERIOR CASTING, INC.;FALSE;Extras Casting;Miscellaneous Companies;Twin Peaks S01E03;superior casting inc;;;;;;;;;;;;;;;;;;;;;;;;
THE GREIF COMPANIES;FALSE;Assorted wardrobe provided by;Miscellaneous Companies;Twin Peaks S01E03;the greif companies;;;;;;;;;;;;;;;;;;;;;;;;
Cineworld;FALSE;Aosm Roma;Miscellaneous Companies;La grande bellezza;cineworld;;;;;;;;;;;;;;;;;;;;;;;;
C A M;FALSE;EDIZIONI MUSICALI;Miscellaneous Companies;8 1-2;c a m;;;;;;;;;;;;;;;;;;;;;;;;
Foscarini;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;foscarini;;;;;;;;;;;;;;;;;;;;;;;;
Colmar;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;colmar;;;;;;;;;;;;;;;;;;;;;;;;
Comando provinciale dei Vigili del Fuoco di Roma;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;comando provinciale dei vigili del fuoco di roma;;;;;;;;;;;;;;;;;;;;;;;;
Comune di Roma;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;comune di roma;;;;;;;;;;;;;;;;;;;;;;;;
Comune Isola del Giglio;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;comune isola del giglio;;;;;;;;;;;;;;;;;;;;;;;;
Lorenzo Riva;FALSE;;Miscellaneous Companies;La grande bellezza;lorenzo riva;;;;;;;;;;;;;;;;;;;;;;;;
Condominio Piazza del Colosseo n.9 - Roma;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;condominio piazza del colosseo n 9 roma;;;;;;;;;;;;;;;;;;;;;;;;
Corbaccio Editore;FALSE;;Miscellaneous Companies;La grande bellezza;corbaccio editore;;;;;;;;;;;;;;;;;;;;;;;;
Corbis;FALSE;un ringraziamento particolare a;Miscellaneous Companies;La grande bellezza;corbis;;;;;;;;;;;;;;;;;;;;;;;;
Corpi Illuminanti Viabizzuno;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;corpi illuminanti viabizzuno;;;;;;;;;;;;;;;;;;;;;;;;
Corvoen Italia;FALSE;si ringraziano inoltre;Miscellaneous Companies;La grande bellezza;corvoen italia;;;;;;;;;;;;;;;;;;;;;;;;
Cravatte Tino Cosma;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;cravatte tino cosma;;;;;;;;;;;;;;;;;;;;;;;;
Cura Magazine;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;cura magazine;;;;;;;;;;;;;;;;;;;;;;;;
Flos;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;flos;;;;;;;;;;;;;;;;;;;;;;;;
Flashart;FALSE;Si ringraziano;Miscellaneous Companies;La grande bellezza;flashart;;;;;;;;;;;;;;;;;;;;;;;;
D. Vision;FALSE;Macchine da presa;Miscellaneous Companies;La grande bellezza;d vision;;;;;;;;;;;;;;;;;;;;;;;;
Marques et Films;FALSE;Publicité;Miscellaneous Companies;Amelie;marques et films;;;;;;;;;;;;;;;;;;;;;;;;
Eurogarden;FALSE;Arredamento;Miscellaneous Companies;La grande bellezza;eurogarden;;;;;;;;;;;;;;;;;;;;;;;;
Eter Biometric Tecnologies – Sistemi biometrici di controllo accessi e apparati di sicurezza elettronici;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;eter biometric tecnologies sistemi biometrici di controllo accessi e apparati di sicurezza elettronici;;;;;;;;;;;;;;;;;;;;;;;;
Declercq Mobilier;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;declercq mobilier;;;;;;;;;;;;;;;;;;;;;;;;
Dedar tessuti per arredamento, carte da parati, passamanerie;FALSE;Per la scenografia;Miscellaneous Companies;La grande bellezza;dedar tessuti per arredamento carte da parati passamanerie;;;;;;;;;;;;;;;;;;;;;;;;
Digital Records Roma;FALSE;Registrazioni e missaggi effettuati presso;Miscellaneous Companies;La grande bellezza;digital records roma;;;;;;;;;;;;;;;;;;;;;;;;
Discovery Italia;FALSE;un ringraziamento particolare a;Miscellaneous Companies;La grande bellezza;discovery italia;;;;;;;;;;;;;;;;;;;;;;;;
Dusan;FALSE;Per i costumi;Miscellaneous Companies;La grande bellezza;dusan;;;;;;;;;;;;;;;;;;;;;;;;
Eliostile Communications;FALSE;Arredamento;Miscellaneous Companies;La grande bellezza;eliostile communications;;;;;;;;;;;;;;;;;;;;;;;;
