nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
Melle Steagall;TRUE;Written by;Soundtrack;Fight Club;melle steagall;;;Melle Steagall;X;;Melle Steagall;X;;Melle Steagall;X;;Melle Steagall;X;;Melle Steagall;X;;Melle Steagall;X;;Melle Steagall;X;;
THELONIUS MONK;TRUE;Written by (Straight, No Chaser);Soundtrack;Se7en;thelonius monk;;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;;THELONIUS MONK;X;;THELONIUS MONK;X;;
THELONIUS MONK;TRUE;Performed by (Straight, No Chaser);Soundtrack;Se7en;thelonius monk;;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;nm0598243;Thelonious Monk;M;;THELONIUS MONK;X;;THELONIUS MONK;X;;
Guille Milkyway;TRUE;Escrito por;Soundtrack;El desorden que dejas S01E03;guille milkyway;;nm2893977;Guille Milkyway;A;nm2893977;Guille Milkyway;A;nm2893977;Guille Milkyway;A;nm2893977;Guille Milkyway;A;nm2893977;Guille Milkyway;A;nm2893977;Guille Milkyway;A;nm2893977;Guille Milkyway;A;;
Jeff Haskell;TRUE;Arrangement by;Soundtrack;Fight Club;jeff haskell;;;Jeff Haskell;X;;Jeff Haskell;X;;Jeff Haskell;X;;Jeff Haskell;X;;Jeff Haskell;X;;Jeff Haskell;X;;Jeff Haskell;X;;
G. Kahn;TRUE;GUILTY;Soundtrack;Amelie;g kahn;;;G. Kahn;X;;G. Kahn;X;;G. Kahn;X;;G. Kahn;X;;G. Kahn;X;;G. Kahn;X;;G. Kahn;X;;
BUDDY SCOTT;TRUE;Written by (Speaking of Happiness);Soundtrack;Se7en;buddy scott;;;BUDDY SCOTT;X;;BUDDY SCOTT;X;;BUDDY SCOTT;X;;BUDDY SCOTT;X;;BUDDY SCOTT;X;;BUDDY SCOTT;X;;BUDDY SCOTT;X;;
Marlene Dietrich;TRUE;Performed by;Soundtrack;Fight Club;marlene dietrich;;nm0000017;Marlene Dietrich;A;nm0000017;Marlene Dietrich;A;nm0000017;Marlene Dietrich;A;nm0000017;Marlene Dietrich;A;nm0000017;Marlene Dietrich;A;nm0000017;Marlene Dietrich;A;nm0000017;Marlene Dietrich;A;;
Nadia Kuprina;TRUE;voci femminili del Torino Vocalensemble;Soundtrack;La grande bellezza;nadia kuprina;;;Nadia Kuprina;X;;Nadia Kuprina;X;;Nadia Kuprina;X;;Nadia Kuprina;X;;Nadia Kuprina;X;;Nadia Kuprina;X;;Nadia Kuprina;X;;
Georges Delerue;TRUE;Musique de;Soundtrack;Amelie;georges delerue;;nm0000016;Georges Delerue;A;nm0000016;Georges Delerue;A;nm0000016;Georges Delerue;A;nm0000016;Georges Delerue;A;nm0000016;Georges Delerue;A;nm0000016;Georges Delerue;A;nm0000016;Georges Delerue;A;;
N. Salerno ;TRUE;WE NO SPEAK AMERICANO;Soundtrack;La grande bellezza;n salerno;;nm2554434;Dan Salerno;M;nm2554434;Dan Salerno;M;;N. Salerno ;X;;N. Salerno ;X;;N. Salerno ;X;;N. Salerno ;X;;N. Salerno ;X;;
Iván González;TRUE;Escrito por;Soundtrack;El desorden que dejas S01E03;ivan gonzalez;;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;
CHARLIE PARKER;TRUE;Performed by (Now's The Time);Soundtrack;Se7en;charlie parker;;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;
G. Arnheim;TRUE;SWEET AND LOVELY;Soundtrack;Amelie;g arnheim;;nm0036280;Gus Arnheim;M;nm0036280;Gus Arnheim;M;;G. Arnheim;X;;G. Arnheim;X;;G. Arnheim;X;;G. Arnheim;X;;G. Arnheim;X;;
James Thomas;TRUE;Escrito por;Soundtrack;El desorden que dejas S01E03;james thomas;;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;
S. Barber;TRUE;ADAGIO POUR CORDES;Soundtrack;Amelie;s barber;;;S. Barber;X;;S. Barber;X;;S. Barber;X;;S. Barber;X;;S. Barber;X;;S. Barber;X;;S. Barber;X;;
CHARLIE PARKER;TRUE;Written by (Now's The Time);Soundtrack;Se7en;charlie parker;;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;CHARLIE PARKER;X;;
Kenton Hulme;TRUE;Written by;Soundtrack;Fight Club;kenton hulme;;nm0401521;Kenton Hulme;A;nm0401521;Kenton Hulme;A;nm0401521;Kenton Hulme;A;nm0401521;Kenton Hulme;A;nm0401521;Kenton Hulme;A;nm0401521;Kenton Hulme;A;nm0401521;Kenton Hulme;A;;
Monica Cetti;TRUE;eseguita da;Soundtrack;La grande bellezza;monica cetti;;nm0149156;Monica Cetti;A;nm0149156;Monica Cetti;A;nm0149156;Monica Cetti;A;nm0149156;Monica Cetti;A;nm0149156;Monica Cetti;A;nm0149156;Monica Cetti;A;nm0149156;Monica Cetti;A;;
"Kenneth ""Babyface"" Edmonds";TRUE;Composed by;Soundtrack;Fight Club;kenneth edmonds;"kenneth ""babyface"" edmonds";nm0004892;Kenneth 'Babyface' Edmonds;A;nm0004892;Kenneth 'Babyface' Edmonds;A;nm0004892;Kenneth 'Babyface' Edmonds;A;nm0004892;Kenneth 'Babyface' Edmonds;A;nm0004892;Kenneth 'Babyface' Edmonds;A;nm0004892;Kenneth 'Babyface' Edmonds;A;nm0004892;Kenneth 'Babyface' Edmonds;A;;
Richard Rodgers;TRUE;WITH A SONG IN MY HEART;Soundtrack;Amelie;richard rodgers;;nm0006256;Richard Rodgers;A;nm0006256;Richard Rodgers;A;nm0006256;Richard Rodgers;A;nm0006256;Richard Rodgers;A;nm0006256;Richard Rodgers;A;nm0006256;Richard Rodgers;A;nm0006256;Richard Rodgers;A;;
Kathleen Brennan;TRUE;Written by;Soundtrack;Fight Club;kathleen brennan;;nm0107333;Kathleen Brennan;A;nm0107333;Kathleen Brennan;A;nm0107333;Kathleen Brennan;A;nm0107333;Kathleen Brennan;A;nm0107333;Kathleen Brennan;A;nm0107333;Kathleen Brennan;A;nm0107333;Kathleen Brennan;A;;
K. Moo;TRUE;Written by;Soundtrack;Fight Club;k moo;;;K. Moo;X;;K. Moo;X;;K. Moo;X;;K. Moo;X;;K. Moo;X;;K. Moo;X;;K. Moo;X;;
Junk Ferry;TRUE;Performed by;Soundtrack;Fight Club;junk ferry;;;Junk Ferry;X;;Junk Ferry;X;;Junk Ferry;X;;Junk Ferry;X;;Junk Ferry;X;;Junk Ferry;X;;Junk Ferry;X;;
TRENT REZNOR;TRUE;Written by (Closer);Soundtrack;Se7en;trent reznor;;nm0722153;Trent Reznor;A;nm0722153;Trent Reznor;A;nm0722153;Trent Reznor;A;nm0722153;Trent Reznor;A;nm0722153;Trent Reznor;A;nm0722153;Trent Reznor;A;nm0722153;Trent Reznor;A;;
Joseph Moore;TRUE;Escrito;Soundtrack;El desorden que dejas S01E03;joseph moore;;;Joseph Moore;X;;Joseph Moore;X;;Joseph Moore;X;;Joseph Moore;X;;Joseph Moore;X;;Joseph Moore;X;;Joseph Moore;X;;
M. Petrie;TRUE;Written by;Soundtrack;Fight Club;m petrie;;;M. Petrie;X;;M. Petrie;X;;M. Petrie;X;;M. Petrie;X;;M. Petrie;X;;M. Petrie;X;;M. Petrie;X;;
