nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
Agathe Théodore;TRUE;;Sales Representatives / ISA;La grande bellezza;nm6345044;Agathe Théodore;A;nm6345044;Agathe Théodore;A;nm6345044;Agathe Théodore;A;nm6345044;Agathe Théodore;A;nm6345044;Agathe Théodore;A;nm6345044;Agathe Théodore;A;nm6345044;Agathe Théodore;A;;
Agnès CHARRETON;TRUE;Secrétaires de production;Production Department;Maigret S03E01;;Agnès CHARRETON;X;;Agnès CHARRETON;X;;Agnès CHARRETON;X;;Agnès CHARRETON;X;;Agnès CHARRETON;X;;Agnès CHARRETON;X;;Agnès CHARRETON;X;;
Agostina Longo;TRUE;Hannah 2019;Voice Actors - Dubbing;Dark S01E09;;Agostina Longo;X;;Agostina Longo;X;;Agostina Longo;X;;Agostina Longo;X;;Agostina Longo;X;;Agostina Longo;X;;Agostina Longo;X;;
Agustina Cirulnik;TRUE;Martha;Voice Actors - Dubbing;Dark S01E09;;Agustina Cirulnik;X;;Agustina Cirulnik;X;;Agustina Cirulnik;X;;Agustina Cirulnik;X;;Agustina Cirulnik;X;;Agustina Cirulnik;X;;Agustina Cirulnik;X;;
Adolfo Domínguez;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
Matthieu Bastid;TRUE;1er assistant;Camera and Electrical Department;Amelie;nm0060484;Matthieu Bastid;A;nm0060484;Matthieu Bastid;A;nm0060484;Matthieu Bastid;A;nm0060484;Matthieu Bastid;A;nm0060484;Matthieu Bastid;A;nm0060484;Matthieu Bastid;A;nm0060484;Matthieu Bastid;A;;
Ak'la Kara Stüdyolar?;FALSE;StÃ¼dyo;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
AINIS JANKAUSKAS;TRUE;Art Directors;Art Directors;Chernobyl S01E01;nm4066405;Ainis Jankauskas;A;nm4066405;Ainis Jankauskas;A;nm4066405;Ainis Jankauskas;A;nm4066405;Ainis Jankauskas;A;nm4066405;Ainis Jankauskas;A;nm4066405;Ainis Jankauskas;A;nm4066405;Ainis Jankauskas;A;;
Delphine Mabed;TRUE;1er assistante Allemagne;Art Department;Amelie;nm0531062;Delphine Mabed;A;nm0531062;Delphine Mabed;A;nm0531062;Delphine Mabed;A;nm0531062;Delphine Mabed;A;nm0531062;Delphine Mabed;A;nm0531062;Delphine Mabed;A;nm0531062;Delphine Mabed;A;;
AISHA COLEY;TRUE;Casting Associate;Casting Department;Se7en;nm0171402;Aisha Coley;A;nm0171402;Aisha Coley;A;nm0171402;Aisha Coley;A;nm0171402;Aisha Coley;A;nm0171402;Aisha Coley;A;nm0171402;Aisha Coley;A;nm0171402;Aisha Coley;A;;
AISTE BORJAS;TRUE;Travel Coordinator;Additional Crew;Chernobyl S01E01;nm10488344;Aiste Borjas;A;nm10488344;Aiste Borjas;A;nm10488344;Aiste Borjas;A;nm10488344;Aiste Borjas;A;nm10488344;Aiste Borjas;A;nm10488344;Aiste Borjas;A;nm10488344;Aiste Borjas;A;;
AIVARAS SIDLA;TRUE;Location Manager;Location Managers;Chernobyl S01E01;nm6924464;Aivaras Sidla;A;nm6924464;Aivaras Sidla;A;nm6924464;Aivaras Sidla;A;nm6924464;Aivaras Sidla;A;nm6924464;Aivaras Sidla;A;nm6924464;Aivaras Sidla;A;nm6924464;Aivaras Sidla;A;;
AKVILE STANKUTE;TRUE;On Set Costumiers;Costume and Wardrobe Department;Chernobyl S01E01;nm8405575;Akvile Stankute;A;nm8405575;Akvile Stankute;A;nm8405575;Akvile Stankute;A;nm8405575;Akvile Stankute;A;nm8405575;Akvile Stankute;A;nm8405575;Akvile Stankute;A;nm8405575;Akvile Stankute;A;;
AL KAMINSKY;TRUE;Drivers;Transportation Department;Se7en;nm0436741;Alan Kaminsky;M;nm0436741;Alan Kaminsky;M;nm0436741;Alan Kaminsky;M;;AL KAMINSKY;X;;AL KAMINSKY;X;;AL KAMINSKY;X;;AL KAMINSKY;X;;
